work_year,job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Research Analyst,Data Science and Research,72000,United States,Entry-level,Full-time,Remote,United States,M
2023,Research Analyst,Data Science and Research,64000,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,90000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,70000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Quality Analyst,Data Quality and Operations,49216,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M
2023,Data Quality Analyst,Data Quality and Operations,36912,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,M
2023,Data Analyst,Data Analysis,80000,Poland,Senior,Full-time,Remote,Poland,M
2023,Data Analyst,Data Analysis,36912,United Kingdom,Senior,Full-time,Remote,United Kingdom,S
2023,Data Engineer,Data Engineering,90000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,70000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,88200,United States,Entry-level,Full-time,Remote,United States,M
2023,Business Intelligence Analyst,BI and Visualization,83339,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,91800,United States,Senior,Full-time,Remote,United States,M
2023,Research Analyst,Data Science and Research,81400,United States,Entry-level,Full-time,Remote,United States,M
2023,Research Analyst,Data Science and Research,43500,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,73100,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Manager,Leadership and Management,65000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,83000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,66000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,81536,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,95000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,75000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,90000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,80000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,78000,Canada,Senior,Full-time,Remote,Canada,M
2023,Data Management Analyst,Data Management and Strategy,60000,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Management Analyst,Data Management and Strategy,52000,United States,Entry-level,Full-time,Remote,United States,M
2023,Business Intelligence Analyst,BI and Visualization,80000,United States,Senior,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,95000,United States,Senior,Full-time,Remote,United States,M
2023,Research Analyst,Data Science and Research,71000,United States,Mid-level,Full-time,Remote,United States,M
2023,Research Analyst,Data Science and Research,57000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,59000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,50000,United States,Mid-level,Full-time,Remote,United States,M
2023,AI Engineer,Machine Learning and AI,50000,Czech Republic,Mid-level,Contract,Remote,Canada,L
2023,Data Scientist,Data Science and Research,64781,Spain,Mid-level,Full-time,Remote,Spain,L
2023,Data Science Consultant,Data Science and Research,21000,Pakistan,Mid-level,Freelance,Remote,Luxembourg,S
2023,Data Analyst,Data Analysis,98000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,85000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,74400,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,88052,United States,Senior,Full-time,Remote,United States,M
2023,BI Data Analyst,Data Analysis,25000,Ukraine,Entry-level,Full-time,Remote,Netherlands,M
2023,Data Analyst,Data Analysis,95000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,95400,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,57800,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,84000,United States,Senior,Full-time,Remote,United States,M
2023,Data Integration Engineer,Data Engineering,75000,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,78800,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,87500,United States,Mid-level,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,95000,Portugal,Mid-level,Full-time,Remote,Portugal,M
2023,Data Engineer,Data Engineering,75000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,67000,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,94770,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,75000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,37573,Netherlands,Entry-level,Full-time,Remote,Netherlands,M
2022,AI Research Engineer,Data Science and Research,36940,United Kingdom,Entry-level,Full-time,Remote,United Kingdom,L
2023,Data Engineer,Data Engineering,97500,United States,Senior,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,89500,United States,Mid-level,Full-time,Remote,United States,M
2023,Business Intelligence Engineer,BI and Visualization,65000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,85000,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Engineer,Data Engineering,61800,United States,Entry-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,74400,United States,Senior,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,95000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Analyst,Data Analysis,80000,United States,Mid-level,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,80000,United States,Senior,Full-time,Remote,United States,M
2023,Analytics Engineer,Leadership and Management,80000,United States,Senior,Full-time,Remote,United States,M
2023,Data Strategist,Data Architecture and Modeling,70374,United States,Senior,Full-time,Remote,United States,M
