title,console,genre,critic_score,total_sales
GRAND THEFT AUTO V,PS3,Action,9.4,20.32
GRAND THEFT AUTO V,PS4,Action,9.7,19.39
GRAND THEFT AUTO: VICE CITY,PS2,Action,9.6,16.15
RED DEAD REDEMPTION 2,PS4,Action-Adventure,9.8,13.94
CALL OF DUTY: MODERN WARFARE 2,X360,Shooter,9.5,13.53
GRAND THEFT AUTO III,PS2,Action,9.5,13.1
GRAND THEFT AUTO IV,X360,Action,10,11.09
CALL OF DUTY: MODERN WARFARE 2,PS3,Shooter,9.5,10.61
GRAND THEFT AUTO IV,PS3,Action,10,10.57
HALO: REACH,X360,Shooter,9.3,9.97
CALL OF DUTY 4: MODERN WARFARE,X360,Shooter,9.6,9.41
THE ELDER SCROLLS V: SKYRIM,X360,Role-Playing,9.3,8.88
BATTLEFIELD 1,PS4,Shooter,9.1,7.26
UNCHARTED 2: AMONG THIEVES,PS3,Action,9.5,6.74
CALL OF DUTY 4: MODERN WARFARE,PS3,Shooter,9.5,6.72
FIFA SOCCER 12,PS3,Sports,9.2,6.65
RED DEAD REDEMPTION,PS3,Action,9.5,6.57
RED DEAD REDEMPTION,X360,Action,9.5,6.5
MINECRAFT,PS4,Misc,9.4,6.33
TEKKEN 2,PS,Fighting,9.1,5.74
BATMAN: ARKHAM CITY,PS3,Action,9.6,5.54
FORZA MOTORSPORT 3,X360,Racing,9.2,5.5
ASSASSIN'S CREED II,X360,Action,9.1,5.3
MADDEN NFL 2004,PS2,Sports,9.5,5.23
BATTLEFIELD 1,XOne,Shooter,9.3,5.13
GUITAR HERO II,PS2,Misc,9.2,5.12
TONY HAWK'S PRO SKATER,PS,Sports,9.6,5.02
MADDEN NFL 06,PS2,Sports,9.1,4.91
CRASH TEAM RACING,PS,Racing,9.2,4.79
BATMAN: ARKHAM CITY,X360,Action,9.5,4.75
TONY HAWK'S PRO SKATER 2,PS,Sports,9.3,4.68
FORZA MOTORSPORT 4,X360,Racing,9.1,4.6
MADDEN NFL 2005,PS2,Sports,9.5,4.53
THE ELDER SCROLLS IV: OBLIVION,X360,Role-Playing,9.2,4.47
TONY HAWK'S PRO SKATER 3,PS2,Sports,9.1,4.41
CALL OF DUTY: ADVANCED WARFARE,X360,Shooter,9.1,4.34
CALL OF DUTY: ADVANCED WARFARE,PS3,Shooter,9.1,4.27
STREET FIGHTER IV,PS3,Fighting,9.3,4.19
FIFA SOCCER 12,X360,Sports,9.2,4.18
MADDEN NFL 2003,PS2,Sports,9.4,4.14
FORZA MOTORSPORT 2,X360,Racing,9.1,4.05
THE ELDER SCROLLS V: SKYRIM,PC,Role-Playing,9.2,3.99
WORLD SOCCER WINNING ELEVEN 8 INTERNATIONAL,PS2,Sports,9.3,3.85
TONY HAWK'S PRO SKATER 4,PS2,Sports,9.6,3.67
DOOM II,PC,Shooter,9.3,3.61
BATMAN: ARKHAM ASYLUM,X360,Action,9.1,3.54
ASSASSIN'S CREED: BROTHERHOOD,X360,Action,9.1,3.53
LITTLEBIGPLANET 2,PS3,Platform,9.1,3.43
L.A. NOIRE,PS3,Adventure,9.1,3.21
ASSASSIN'S CREED ODYSSEY,PS4,Action-Adventure,9.5,3.18
THE ELDER SCROLLS IV: OBLIVION,PS3,Role-Playing,9.3,3.12
MASS EFFECT 2,X360,Role-Playing,9.5,3.1
MASS EFFECT 3,X360,Role-Playing,9.5,3.04
TOM CLANCY'S SPLINTER CELL,XB,Action,9.3,3.02
STREET FIGHTER IV,X360,Fighting,9.3,2.95
MASS EFFECT,X360,Role-Playing,9.2,2.91
ASSASSIN'S CREED: BROTHERHOOD,PS3,Action,9.1,2.85
BIOSHOCK,X360,Shooter,9.6,2.83
L.A. NOIRE,X360,Adventure,9.1,2.73
BURNOUT 3: TAKEDOWN,PS2,Racing,9.3,2.68
MEDAL OF HONOR,PS,Shooter,9.3,2.67
NBA 2K12,X360,Sports,9.1,2.64
ROCKSTAR GAMES DOUBLE PACK: GRAND THEFT AUTO III & GRAND THEFT AUTO VICE CITY,XB,Action,9.8,2.49
ROCK BAND,X360,Misc,9.1,2.47
GUITAR HERO II,X360,Misc,9.2,2.21
ROCK BAND 2,X360,Misc,9.2,2.2
STAR WARS: KNIGHTS OF THE OLD REPUBLIC,XB,Role-Playing,9.4,2.19
TONY HAWK'S PRO SKATER,N64,Sports,9.3,2.11
PORTAL 2,X360,Shooter,9.6,2.08
R4: RIDGE RACER TYPE 4,PS,Racing,9.1,2.06
DRAGON QUEST XI: ECHOES OF AN ELUSIVE AGE,PS4,Role-Playing,9.5,2.04
GRAND THEFT AUTO: SAN ANDREAS,XB,Action,9.2,1.95
THE LEGEND OF ZELDA: ORACLE OF AGES,GBC,Adventure,9.4,1.92
RED FACTION,PS2,Shooter,9.1,1.92
STAR WARS ROGUE LEADER: ROGUE SQUADRON II,GC,Simulation,9.2,1.9
MINECRAFT,NS,Sandbox,9.2,1.89
THE LEGEND OF ZELDA: ORACLE OF SEASONS,GBC,Adventure,9.3,1.86
FORZA HORIZON 4,XOne,Racing,9.2,1.84
BIOSHOCK INFINITE,PS3,Shooter,9.5,1.82
THE ORANGE BOX,X360,Shooter,9.7,1.82
CRAZY TAXI,DC,Racing,9.3,1.81
SSX TRICKY,PS2,Sports,9.2,1.73
ROCKSTAR GAMES DOUBLE PACK: GRAND THEFT AUTO III & GRAND THEFT AUTO VICE CITY,PS2,Action,9.7,1.72
PORTAL 2,PS3,Shooter,9.6,1.71
APE ESCAPE,PS,Platform,9.3,1.63
ROCK BAND,PS3,Misc,9.1,1.62
DEAD SPACE 2,X360,Shooter,9.1,1.52
WWF NO MERCY,N64,Fighting,9.1,1.5
SOULCALIBUR II,GC,Fighting,9.2,1.5
NFL BLITZ,PS,Sports,9.1,1.5
TOM CLANCY'S SPLINTER CELL: PANDORA TOMORROW,XB,Action,9.2,1.48
MASS EFFECT 2,PS3,Role-Playing,9.3,1.46
BIOSHOCK,PS3,Shooter,9.3,1.44
GRAND THEFT AUTO: CHINATOWN WARS,DS,Adventure,9.5,1.33
BURNOUT 3: TAKEDOWN,XB,Racing,9.3,1.31
CASTLEVANIA: SYMPHONY OF THE NIGHT,PS,Platform,9.3,1.27
NFL 2K,DC,Sports,9.7,1.2
SHADOW OF THE COLOSSUS,PS4,Action-Adventure,9.3,1.2
RED DEAD REDEMPTION: UNDEAD NIGHTMARE,PS3,Action,10,1.18
CALL OF DUTY 4: MODERN WARFARE,PC,Shooter,9.3,1.15
SHADOW OF THE COLOSSUS,PS2,Adventure,9.1,1.14
TOM CLANCY'S SPLINTER CELL: CHAOS THEORY,XB,Action,9.4,1.11
RED DEAD REDEMPTION: UNDEAD NIGHTMARE,X360,Action,10,1.11
NFL 2K1,DC,Sports,9.6,1.09
GRAND THEFT AUTO: CHINATOWN WARS,PSP,Adventure,9.2,1.08
FORZA MOTORSPORT,XB,Racing,9.2,1.05
ROCKSMITH 2014,PS3,Music,9.1,1.05
WIPEOUT PURE,PSP,Racing,9.1,1.04
GRAND THEFT AUTO: SAN ANDREAS,PC,Action,9.4,0.97
MONSTER HUNTER: WORLD,XOne,Action,9.4,0.93
XENOBLADE CHRONICLES,Wii,Role-Playing,9.3,0.92
